"nquest","ncomp","nord","sex","anasc","staciv","ireg","y"
"31246","2","2","2","1944","1","1","3"
"31625","2","1","2","1931","4","3","3"
"31625","2","1","2","1931","4","3","1"
"31625","2","2","2","1957","2","3","3"
"31625","2","2","2","1957","2","3","1"
"31652","2","1","1","1941","1","3","2"
"31652","2","1","1","1941","1","3","4"
"31652","2","2","2","1943","1","3","2"
"31652","2","2","2","1943","1","3","4"
"31665","1","1","1","1937","4","7","4"
"31671","1","1","2","1952","4","7","4"
"31695","3","1","2","1969","1","3","2"
"31695","3","1","2","1969","1","3","3"
"31695","3","1","2","1969","1","3","1"
"31695","3","2","1","1964","1","3","2"
"31695","3","2","1","1964","1","3","3"
"31695","3","2","1","1964","1","3","1"
"31695","3","3","1","1992","2","3","2"
"31695","3","3","1","1992","2","3","3"
"31695","3","3","1","1992","2","3","1"
"31724","5","1","1","1958","1","7","2"
"31724","5","1","1","1958","1","7","1"
"31724","5","1","1","1958","1","7","9"
"31724","5","1","1","1958","1","7","7"
"31724","5","2","2","1962","1","7","2"
"31724","5","2","2","1962","1","7","1"
"31724","5","2","2","1962","1","7","9"
"31724","5","2","2","1962","1","7","7"
"31724","5","3","2","1991","2","7","2"
"31724","5","3","2","1991","2","7","1"
"31724","5","3","2","1991","2","7","9"
"31724","5","3","2","1991","2","7","7"
"31724","5","4","2","1996","2","7","2"
"31724","5","4","2","1996","2","7","1"
"31724","5","4","2","1996","2","7","9"
"31724","5","4","2","1996","2","7","7"
"31724","5","5","2","1999","2","7","2"
"31724","5","5","2","1999","2","7","1"
"31724","5","5","2","1999","2","7","9"
"31724","5","5","2","1999","2","7","7"
"31757","1","1","2","1935","4","3","2"
"31799","2","1","2","1948","1","3","2"
"31799","2","1","2","1948","1","3","1"
"31799","2","2","1","1941","1","3","2"
"31799","2","2","1","1941","1","3","1"
"31860","3","1","1","1958","1","15","1"
"31860","3","1","1","1958","1","15","2"
"31860","3","1","1","1958","1","15","3"
"31860","3","2","2","1961","1","15","1"
"31860","3","2","2","1961","1","15","2"
"31860","3","2","2","1961","1","15","3"
"31860","3","3","2","1989","2","15","1"
"31860","3","3","2","1989","2","15","2"
"31860","3","3","2","1989","2","15","3"
"32034","2","1","1","1944","1","1","2"
"32034","2","2","2","1948","1","1","2"
"32044","1","1","2","1937","4","1","1"
"32052","2","1","1","1941","1","1","1"
"32052","2","1","1","1941","1","1","3"
"32052","2","2","2","1944","1","1","1"
"32052","2","2","2","1944","1","1","3"
"32057","3","1","1","1938","1","1","3"
"32057","3","1","1","1938","1","1","1"
"32057","3","1","1","1938","1","1","2"
"32057","3","2","2","1943","1","1","3"
"32057","3","2","2","1943","1","1","1"
"32057","3","2","2","1943","1","1","2"
"32057","3","3","1","1967","2","1","3"
"32057","3","3","1","1967","2","1","1"
"32057","3","3","1","1967","2","1","2"
"32190","1","1","1","1947","2","3","3"
"32318","1","1","2","1936","4","4","2"
"32320","3","1","2","1962","1","4","1"
"32320","3","1","2","1962","1","4","4"
"32320","3","1","2","1962","1","4","5"
"32320","3","2","1","1958","1","4","1"
"32320","3","2","1","1958","1","4","4"
"32320","3","2","1","1958","1","4","5"
"32320","3","3","1","1994","2","4","1"
"32320","3","3","1","1994","2","4","4"
"32320","3","3","1","1994","2","4","5"
"32471","1","1","2","1945","4","15","1"
"32524","2","1","1","1945","1","8","3"
"32524","2","1","1","1945","1","8","7"
"32524","2","2","2","1948","1","8","3"
"32524","2","2","2","1948","1","8","7"
"32556","1","1","2","1947","4","5","2"
"32668","3","1","1","1949","1","16","1"
"32668","3","1","1","1949","1","16","3"
"32668","3","2","2","1950","1","16","1"
"32668","3","2","2","1950","1","16","3"
"32668","3","3","1","1974","2","16","1"
"32668","3","3","1","1974","2","16","3"
"32703","1","1","2","1942","4","8","1"
"32709","4","1","1","1940","1","8","3"
"32709","4","1","1","1940","1","8","3"
"32709","4","1","1","1940","1","8","1"
"32709","4","1","1","1940","1","8","3"
"32709","4","2","2","1944","1","8","3"
"32709","4","2","2","1944","1","8","3"
"32709","4","2","2","1944","1","8","1"
"32709","4","2","2","1944","1","8","3"
"32709","4","3","1","1971","2","8","3"
"32709","4","3","1","1971","2","8","3"
"32709","4","3","1","1971","2","8","1"
"32709","4","3","1","1971","2","8","3"
"32709","4","4","2","1979","2","8","3"
"32709","4","4","2","1979","2","8","3"
"32709","4","4","2","1979","2","8","1"
"32709","4","4","2","1979","2","8","3"
"32729","2","1","1","1954","1","8","8"
"32729","2","2","2","1958","1","8","8"
"32734","1","1","1","1965","3","8","3"
"32751","1","1","2","1939","4","8","4"
"32765","2","1","2","1956","1","8","3"
"32765","2","1","2","1956","1","8","4"
"32765","2","2","1","1954","1","8","3"
"32765","2","2","1","1954","1","8","4"
"32772","2","1","2","1952","1","8","2"
"32772","2","1","2","1952","1","8","1"
"32772","2","2","1","1949","1","8","2"
"32772","2","2","1","1949","1","8","1"
"32810","1","1","2","1936","4","17","1"
"32822","3","1","1","1929","1","18","1"
"32822","3","1","1","1929","1","18","1"
"32822","3","1","1","1929","1","18","3"
"32822","3","2","2","1931","1","18","1"
"32822","3","2","2","1931","1","18","1"
"32822","3","2","2","1931","1","18","3"
"32822","3","3","1","1962","2","18","1"
"32822","3","3","1","1962","2","18","1"
"32822","3","3","1","1962","2","18","3"
"32839","2","1","1","1945","1","5","3"
"32839","2","2","2","1944","1","5","3"
"32861","3","1","2","1951","1","11","9"
"32861","3","1","2","1951","1","11","2"
"32861","3","1","2","1951","1","11","2"
"32861","3","2","1","1946","1","11","9"
"32861","3","2","1","1946","1","11","2"
"32861","3","2","1","1946","1","11","2"
"32861","3","3","2","1989","2","11","9"
"32861","3","3","2","1989","2","11","2"
"32861","3","3","2","1989","2","11","2"
"32887","3","1","1","1962","1","5","2"
"32887","3","1","1","1962","1","5","4"
"32887","3","2","2","1965","1","5","2"
"32887","3","2","2","1965","1","5","4"
"32887","3","3","1","1990","2","5","2"
"32887","3","3","1","1990","2","5","4"
"33036","3","1","1","1936","1","15","1"
"33036","3","2","2","1939","1","15","1"
"33036","3","3","1","1965","2","15","1"
"33038","6","1","1","1957","1","15","3"
"33038","6","1","1","1957","1","15","1"
"33038","6","1","1","1957","1","15","2"
"33038","6","2","2","1955","1","15","3"
"33038","6","2","2","1955","1","15","1"
"33038","6","2","2","1955","1","15","2"
"33038","6","3","2","1988","1","15","3"
"33038","6","3","2","1988","1","15","1"
"33038","6","3","2","1988","1","15","2"
"33038","6","4","1","1990","2","15","3"
"33038","6","4","1","1990","2","15","1"
"33038","6","4","1","1990","2","15","2"
"33038","6","5","1","1988","1","15","3"
"33038","6","5","1","1988","1","15","1"
"33038","6","5","1","1988","1","15","2"
"33038","6","6","2","2016","2","15","3"
"33038","6","6","2","2016","2","15","1"
"33038","6","6","2","2016","2","15","2"
"33275","2","1","1","1936","1","13","2"
"33275","2","1","1","1936","1","13","3"
"33275","2","2","2","1945","1","13","2"
"33275","2","2","2","1945","1","13","3"
"33303","2","1","1","1947","1","8","1"
"33303","2","1","1","1947","1","8","3"
"33303","2","2","2","1939","1","8","1"
"33303","2","2","2","1939","1","8","3"
"33335","4","1","1","1960","1","10","2"
"33335","4","1","1","1960","1","10","1"
"33335","4","1","1","1960","1","10","2"
"33335","4","1","1","1960","1","10","3"
"33335","4","2","2","1959","1","10","2"
"33335","4","2","2","1959","1","10","1"
"33335","4","2","2","1959","1","10","2"
"33335","4","2","2","1959","1","10","3"
"33335","4","3","1","1983","2","10","2"
"33335","4","3","1","1983","2","10","1"
"33335","4","3","1","1983","2","10","2"
"33335","4","3","1","1983","2","10","3"
"33335","4","4","1","1988","2","10","2"
"33335","4","4","1","1988","2","10","1"
"33335","4","4","1","1988","2","10","2"
"33335","4","4","1","1988","2","10","3"
"33336","2","1","1","1970","2","10","1"
"33336","2","1","1","1970","2","10","1"
"33336","2","2","2","1943","4","10","1"
"33336","2","2","2","1943","4","10","1"
"33348","2","1","1","1939","1","10","1"
"33348","2","1","1","1939","1","10","3"
"33348","2","2","2","1944","1","10","1"
"33348","2","2","2","1944","1","10","3"
"33451","3","1","2","1955","4","19","3"
"33451","3","2","1","1983","2","19","3"
"33451","3","3","2","1993","2","19","3"
"33455","1","1","1","1936","3","19","4"
"33479","2","1","2","1934","2","19","1"
"33479","2","1","2","1934","2","19","4"
"33479","2","2","2","1936","2","19","1"
"33479","2","2","2","1936","2","19","4"
"33644","1","1","2","1937","3","5","2"
"33823","1","1","2","1929","4","9","2"
"33839","1","1","2","1946","4","16","1"
"33877","2","1","2","1963","1","8","5"
"33877","2","1","2","1963","1","8","1"
"33877","2","2","1","1958","1","8","5"
"33877","2","2","1","1958","1","8","1"
"33882","2","1","1","1951","1","8","3"
"33882","2","2","2","1959","1","8","3"
"33937","2","1","1","1939","1","12","5"
"33937","2","2","2","1947","1","12","5"
"33985","3","1","1","1949","1","12","3"
"33985","3","1","1","1949","1","12","8"
"33985","3","2","2","1954","1","12","3"
"33985","3","2","2","1954","1","12","8"
"33985","3","3","1","1989","2","12","3"
"33985","3","3","1","1989","2","12","8"
"33994","3","1","1","1946","1","12","1"
"33994","3","1","1","1946","1","12","4"
"33994","3","2","2","1950","1","12","1"
"33994","3","2","2","1950","1","12","4"
"33994","3","3","1","1976","2","12","1"
"33994","3","3","1","1976","2","12","4"
"34059","1","1","1","1951","4","11","5"
"34252","1","1","1","1948","2","13","2"
"34732","2","1","1","1938","1","16","1"
"34732","2","1","1","1938","1","16","2"
"34732","2","2","2","1943","1","16","1"
"34732","2","2","2","1943","1","16","2"
"34778","2","1","2","1937","4","16","9"
"34778","2","1","2","1937","4","16","1"
"34778","2","2","1","1963","2","16","9"
"34778","2","2","1","1963","2","16","1"
"34825","2","1","1","1953","1","8","2"
"34825","2","1","1","1953","1","8","5"
"34825","2","2","2","1954","1","8","2"
"34825","2","2","2","1954","1","8","5"
"34900","4","1","2","1967","1","5","2"
"34900","4","1","2","1967","1","5","1"
"34900","4","2","1","1963","1","5","2"
"34900","4","2","1","1963","1","5","1"
"34900","4","3","2","1994","2","5","2"
"34900","4","3","2","1994","2","5","1"
"34900","4","4","1","2002","2","5","2"
"34900","4","4","1","2002","2","5","1"
"35005","2","1","1","1941","4","3","1"
"35005","2","1","1","1941","4","3","3"
"35005","2","2","1","1982","2","3","1"
"35005","2","2","1","1982","2","3","3"
"35022","3","1","2","1966","1","15","1"
"35022","3","1","2","1966","1","15","2"
"35022","3","1","2","1966","1","15","1"
"35022","3","2","1","1966","1","15","1"
"35022","3","2","1","1966","1","15","2"
"35022","3","2","1","1966","1","15","1"
"35022","3","3","1","1993","2","15","1"
"35022","3","3","1","1993","2","15","2"
"35022","3","3","1","1993","2","15","1"
"35032","4","1","1","1958","1","3","3"
"35032","4","1","1","1958","1","3","3"
"35032","4","1","1","1958","1","3","3"
"35032","4","2","2","1960","1","3","3"
"35032","4","2","2","1960","1","3","3"
"35032","4","2","2","1960","1","3","3"
"35032","4","3","1","1988","2","3","3"
"35032","4","3","1","1988","2","3","3"
"35032","4","3","1","1988","2","3","3"
"35032","4","4","1","1990","2","3","3"
"35032","4","4","1","1990","2","3","3"
"35032","4","4","1","1990","2","3","3"
